timestamp,open,high,low,close,volume
1771322515931,68079.29361360389,68079.29361360389,68079.29361360389,68079.29361360389,0
1771326135716,67784.02666527066,67784.02666527066,67784.02666527066,67784.02666527066,0
1771329632329,67833.14545257023,67833.14545257023,67833.14545257023,67833.14545257023,0
1771333338178,67888.17582537961,67888.17582537961,67888.17582537961,67888.17582537961,0
1771336833831,68091.7970259687,68091.7970259687,68091.7970259687,68091.7970259687,0
1771340551408,66900.86088977731,66900.86088977731,66900.86088977731,66900.86088977731,0
1771344147028,67352.03557682618,67352.03557682618,67352.03557682618,67352.03557682618,0
1771347638300,67520.45663312795,67520.45663312795,67520.45663312795,67520.45663312795,0
1771351365274,67198.53776740881,67198.53776740881,67198.53776740881,67198.53776740881,0
1771355000349,68070.65432562269,68070.65432562269,68070.65432562269,68070.65432562269,0
1771358465001,67789.9677181016,67789.9677181016,67789.9677181016,67789.9677181016,0
1771362132834,67729.879969294,67729.879969294,67729.879969294,67729.879969294,0
1771365790689,67643.96687622776,67643.96687622776,67643.96687622776,67643.96687622776,0
1771369358968,67511.08100510074,67511.08100510074,67511.08100510074,67511.08100510074,0
1771372923508,67478.66920269319,67478.66920269319,67478.66920269319,67478.66920269319,0
1771376536416,67295.93918777717,67295.93918777717,67295.93918777717,67295.93918777717,0
1771380112564,67121.17416691722,67121.17416691722,67121.17416691722,67121.17416691722,0
1771383705436,67298.87495580375,67298.87495580375,67298.87495580375,67298.87495580375,0
1771387403314,67605.87435157233,67605.87435157233,67605.87435157233,67605.87435157233,0
1771390906523,67770.52548526973,67770.52548526973,67770.52548526973,67770.52548526973,0
1771394432154,67610.24909276767,67610.24909276767,67610.24909276767,67610.24909276767,0
1771398146424,67812.32340573036,67812.32340573036,67812.32340573036,67812.32340573036,0
1771401775802,68087.77007418862,68087.77007418862,68087.77007418862,68087.77007418862,0
1771405272191,68092.30939990666,68092.30939990666,68092.30939990666,68092.30939990666,0
1771409002928,68130.76658086086,68130.76658086086,68130.76658086086,68130.76658086086,0
1771412556503,67757.18921579409,67757.18921579409,67757.18921579409,67757.18921579409,0
1771416141509,67378.80486981728,67378.80486981728,67378.80486981728,67378.80486981728,0
1771419728004,67465.52794094842,67465.52794094842,67465.52794094842,67465.52794094842,0
1771423334250,67191.89205610077,67191.89205610077,67191.89205610077,67191.89205610077,0
1771426909221,67156.67569324691,67156.67569324691,67156.67569324691,67156.67569324691,0
1771430539135,67663.21696845596,67663.21696845596,67663.21696845596,67663.21696845596,0
1771434044658,67105.62639714318,67105.62639714318,67105.62639714318,67105.62639714318,0
1771437695746,67147.92942211787,67147.92942211787,67147.92942211787,67147.92942211787,0
1771441225557,66315.35717122022,66315.35717122022,66315.35717122022,66315.35717122022,0
1771444921312,66143.11023952397,66143.11023952397,66143.11023952397,66143.11023952397,0
1771448523574,66245.54294126258,66245.54294126258,66245.54294126258,66245.54294126258,0
1771452106007,66319.09854121489,66319.09854121489,66319.09854121489,66319.09854121489,0
1771455683232,66395.02300417775,66395.02300417775,66395.02300417775,66395.02300417775,0
1771459273233,66437.13592509933,66437.13592509933,66437.13592509933,66437.13592509933,0
1771462998732,66422.48277202653,66422.48277202653,66422.48277202653,66422.48277202653,0
1771466560008,66833.17282840105,66833.17282840105,66833.17282840105,66833.17282840105,0
1771470044709,66822.55646014048,66822.55646014048,66822.55646014048,66822.55646014048,0
1771473641661,66933.92747646493,66933.92747646493,66933.92747646493,66933.92747646493,0
1771477398157,66780.89118616698,66780.89118616698,66780.89118616698,66780.89118616698,0
1771480862769,66837.42029796186,66837.42029796186,66837.42029796186,66837.42029796186,0
1771484461425,67116.50346018281,67116.50346018281,67116.50346018281,67116.50346018281,0
1771488115418,67170.02189428693,67170.02189428693,67170.02189428693,67170.02189428693,0
1771491743652,66935.07201032821,66935.07201032821,66935.07201032821,66935.07201032821,0
1771495362686,66811.14558678101,66811.14558678101,66811.14558678101,66811.14558678101,0
1771498965150,66808.56146870888,66808.56146870888,66808.56146870888,66808.56146870888,0
1771502561805,66477.69591909723,66477.69591909723,66477.69591909723,66477.69591909723,0
1771506053718,66493.38343507201,66493.38343507201,66493.38343507201,66493.38343507201,0
1771509727060,65893.78142463525,65893.78142463525,65893.78142463525,65893.78142463525,0
1771513268233,66395.49662413551,66395.49662413551,66395.49662413551,66395.49662413551,0
1771516862850,66361.8367706384,66361.8367706384,66361.8367706384,66361.8367706384,0
